"filename", "language", "C#", "comment", "blank", "total"
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\CreatePredefinedStartup.cs", "C#", -14, 0, -1, -15
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\CreateSettingsStartup.cs", "C#", -38, 0, -1, -39
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Startup\CreateCommandsStartup.cs", "C#", 221, 2, 4, 227
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Startup\CreateFormalFunctions.cs", "C#", 113, 8, 9, 130
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Startup\CreatePredefinedStartup.cs", "C#", 14, 0, 1, 15
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Startup\CreateSettingsStartup.cs", "C#", 38, 0, 1, 39
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Startup\CreateCommandsStartup.cs", "C#", -221, -2, -4, -227
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Startup\CreateFormalFunctions.cs", "C#", -113, -8, -9, -130
"Total", "-", 0, 0, 0, 0
