"filename", "language", "C#", "comment", "blank", "total"
"c:\programmering\visualstudiocodeFiles\CASproject\Commands\Command.cs", "C#", 122, 53, 37, 212
"c:\programmering\visualstudiocodeFiles\CASproject\Commands\DefineVariable.cs", "C#", 16, 0, 5, 21
"c:\programmering\visualstudiocodeFiles\CASproject\Commands\EvaluateExpression.cs", "C#", 16, 0, 3, 19
"c:\programmering\visualstudiocodeFiles\CASproject\Commands\InformalCommand.cs", "C#", 13, 3, 3, 19
"c:\programmering\visualstudiocodeFiles\CASproject\Commands\ListObjects.cs", "C#", 18, 0, 3, 21
"c:\programmering\visualstudiocodeFiles\CASproject\Commands\SimplifyExpression.cs", "C#", 12, 0, 3, 15
"c:\programmering\visualstudiocodeFiles\CASproject\Commands\Write.cs", "C#", 23, 3, 4, 30
"Total", "-", 220, 59, 58, 337
