"filename", "language", "C#", "comment", "blank", "total"
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\CreateSettingsStartup.cs", "C#", 38, 0, 1, 39
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Program.cs", "C#", 102, 37, 18, 157
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Setting.cs", "C#", 49, 15, 10, 74
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Command.cs", "C#", 150, 47, 44, 241
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\CreateCommandsStartup.cs", "C#", 117, 8, 4, 129
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\DefineFunction.cs", "C#", 19, 0, 3, 22
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\DefineVariable.cs", "C#", 20, 0, 3, 23
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\EvaluateExpression.cs", "C#", 13, 0, 2, 15
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Explain.cs", "C#", 57, 13, 17, 87
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Help.cs", "C#", 15, 0, 3, 18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\InformalCommand.cs", "C#", 10, 3, 2, 15
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\ListObjects.cs", "C#", 75, 3, 11, 89
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\SetSetting.cs", "C#", 15, 0, 3, 18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\SimplifyExpression.cs", "C#", 9, 0, 2, 11
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Write.cs", "C#", 38, 6, 10, 54
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Main.cs", "C#", 31, 1, 3, 35
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Add.cs", "C#", 64, 13, 15, 92
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Constant.cs", "C#", 19, 4, 8, 31
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Divide.cs", "C#", 32, 10, 10, 52
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal\CreateFormalFunctions.cs", "C#", 23, 0, 2, 25
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal\FormalFunction.cs", "C#", 20, 0, 3, 23
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal\Ln.cs", "C#", 22, 3, 12, 37
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Function.cs", "C#", 37, 3, 6, 46
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\MathObject.cs", "C#", 52, 12, 15, 79
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Multiply.cs", "C#", 68, 13, 16, 97
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Operator.cs", "C#", 63, 19, 11, 93
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Power.cs", "C#", 29, 9, 9, 47
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Variable.cs", "C#", 20, 4, 7, 31
"Total", "-", 1207, 223, 250, 1680
