"filename", "language", "C#", "comment", "blank", "total"
"c:\programmering\visualstudiocodeFiles\CASproject\Math\Add.cs", "C#", 34, 11, 9, 54
"c:\programmering\visualstudiocodeFiles\CASproject\Math\Constant.cs", "C#", 19, 4, 7, 30
"c:\programmering\visualstudiocodeFiles\CASproject\Math\Divide.cs", "C#", 26, 9, 8, 43
"c:\programmering\visualstudiocodeFiles\CASproject\Math\Function.cs", "C#", 24, 3, 6, 33
"c:\programmering\visualstudiocodeFiles\CASproject\Math\MathObject.cs", "C#", 26, 3, 9, 38
"c:\programmering\visualstudiocodeFiles\CASproject\Math\Multiply.cs", "C#", 33, 12, 9, 54
"c:\programmering\visualstudiocodeFiles\CASproject\Math\Operator.cs", "C#", 61, 17, 9, 87
"c:\programmering\visualstudiocodeFiles\CASproject\Math\Power.cs", "C#", 26, 9, 10, 45
"c:\programmering\visualstudiocodeFiles\CASproject\Math\Variable.cs", "C#", 20, 4, 6, 30
"Total", "-", 269, 72, 73, 414
