"filename", "language", "C#", "comment", "blank", "total"
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Program.cs", "C#", 4, 9, 1, 14
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Startup\CreateFormalFunctions.cs", "C#", 12, 0, 0, 12
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Main.cs", "C#", 2, 0, 0, 2
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Calculation\CASMath.cs", "C#", 5, 0, 1, 6
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal operators\Iterative\Product.cs", "C#", 2, 0, 0, 2
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal operators\Iterative\Sum.cs", "C#", 2, 0, 0, 2
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Other\Constant.cs", "C#", -1, 0, -1, -2
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Structure\MathObject.cs", "C#", 0, 0, 2, 2
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Other\ConsoleStyling.cs", "C#", -1, -1, -1, -3
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Other\StringTree.cs", "C#", 5, 0, 0, 5
"Total", "-", 30, 8, 2, 40
