"filename", "language", "C#", "comment", "blank", "total"
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\ParseInput.cs", "C#", 128, 38, 39, 205
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Program.Exceptions.cs", "C#", 7, 0, 3, 10
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Program.cs", "C#", 127, 41, 23, 191
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Setting.cs", "C#", 60, 16, 12, 88
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Startup\CreateCommandsStartup.cs", "C#", 245, 2, 5, 252
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Startup\CreateFormalFunctions.cs", "C#", 105, 8, 9, 122
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Startup\CreatePredefinedStartup.cs", "C#", 14, 0, 1, 15
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Startup\CreateSettingsStartup.cs", "C#", 64, 0, 3, 67
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Info\Explain.cs", "C#", 56, 3, 10, 69
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Info\Help.cs", "C#", 15, 0, 3, 18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Info\Hide.cs", "C#", 15, 0, 3, 18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Info\ListObjects.cs", "C#", 75, 3, 11, 89
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Info\Show.cs", "C#", 15, 0, 3, 18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Info\Write.cs", "C#", 41, 8, 11, 60
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Other\ExecuteAll.cs", "C#", 11, 0, 3, 14
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Other\GetTime.cs", "C#", 27, 0, 3, 30
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Other\RepeatExecute.cs", "C#", 15, 0, 3, 18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\State\DefineFunction.cs", "C#", 20, 0, 3, 23
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\State\DefineVariable.cs", "C#", 20, 0, 3, 23
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\State\RemoveObject.cs", "C#", 14, 0, 3, 17
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\State\SetSetting.cs", "C#", 15, 0, 3, 18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Structure\Command.cs", "C#", 44, 10, 10, 64
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Structure\InformalCommand.cs", "C#", 10, 3, 2, 15
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Main.cs", "C#", 31, 1, 3, 35
