"filename", "language", "C#", "comment", "blank", "total"
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Startup\CreateFormalFunctions.cs", "C#", -7, 0, 0, -7
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Command.cs", "C#", -44, -10, -10, -64
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\DefineFunction.cs", "C#", -20, 0, -3, -23
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\DefineVariable.cs", "C#", -20, 0, -3, -23
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\InformalCommand.cs", "C#", -10, -3, -2, -15
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\ListObjects.cs", "C#", -75, -3, -11, -89
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Math\Sum.cs", "C#", -39, -2, -6, -47
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\No input\Help.cs", "C#", 15, 0, 3, 18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Other\SetSetting.cs", "C#", 15, 0, 3, 18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\RemoveObject.cs", "C#", -14, 0, -3, -17
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\SetSetting.cs", "C#", -15, 0, -3, -18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Simple\Explain.cs", "C#", -51, -3, -10, -64
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Simple\GetTime.cs", "C#", -27, 0, -3, -30
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Simple\Help.cs", "C#", -15, 0, -3, -18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Simple\Hide.cs", "C#", -15, 0, -3, -18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Simple\Show.cs", "C#", -15, 0, -3, -18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Single input\Explain.cs", "C#", 56, 3, 10, 69
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Single input\GetTime.cs", "C#", 27, 0, 3, 30
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Single input\Hide.cs", "C#", 15, 0, 3, 18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Single input\ListObjects.cs", "C#", 75, 3, 11, 89
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Single input\RemoveObject.cs", "C#", 14, 0, 3, 17
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Single input\Show.cs", "C#", 15, 0, 3, 18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Single input\Write.cs", "C#", 36, 6, 10, 52
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Structure\Command.cs", "C#", 44, 10, 10, 64
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Structure\DefineFunction.cs", "C#", 20, 0, 3, 23
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Structure\DefineVariable.cs", "C#", 20, 0, 3, 23
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Structure\InformalCommand.cs", "C#", 10, 3, 2, 15
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Write.cs", "C#", -36, -6, -10, -52
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Add.cs", "C#", -83, -15, -17, -115
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Basic operators\Add.cs", "C#", 83, 15, 17, 115
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Basic operators\Divide.cs", "C#", 72, 16, 16, 104
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Basic operators\Multiply.cs", "C#", 97, 14, 19, 130
