"filename", "language", "C#", "comment", "blank", "total"
"c:\programmering\visualstudiocodeFiles\CASproject\Commands\Command.cs", "C#", 165, 63, 50, 278
"c:\programmering\visualstudiocodeFiles\CASproject\Commands\DefineFunction.cs", "C#", 16, 0, 3, 19
"c:\programmering\visualstudiocodeFiles\CASproject\Commands\DefineVariable.cs", "C#", 18, 0, 3, 21
"c:\programmering\visualstudiocodeFiles\CASproject\Commands\EvaluateExpression.cs", "C#", 13, 0, 2, 15
"c:\programmering\visualstudiocodeFiles\CASproject\Commands\InformalCommand.cs", "C#", 10, 3, 2, 15
"c:\programmering\visualstudiocodeFiles\CASproject\Commands\ListObjects.cs", "C#", 20, 0, 3, 23
"c:\programmering\visualstudiocodeFiles\CASproject\Commands\SimplifyExpression.cs", "C#", 9, 0, 2, 11
"c:\programmering\visualstudiocodeFiles\CASproject\Commands\Write.cs", "C#", 20, 3, 3, 26
"Total", "-", 271, 69, 68, 408
