"filename", "language", "C#", "comment", "blank", "total"
"c:\programmering\visualstudiocodeFiles\CASproject\Math\Add.cs", "C#", 33, 4, 10, 47
"c:\programmering\visualstudiocodeFiles\CASproject\Math\Constant.cs", "C#", 19, 4, 7, 30
"c:\programmering\visualstudiocodeFiles\CASproject\Math\Divide.cs", "C#", 23, 2, 8, 33
"c:\programmering\visualstudiocodeFiles\CASproject\Math\MathObject.cs", "C#", 23, 3, 8, 34
"c:\programmering\visualstudiocodeFiles\CASproject\Math\Multiply.cs", "C#", 32, 4, 9, 45
"c:\programmering\visualstudiocodeFiles\CASproject\Math\Operator.cs", "C#", 61, 19, 9, 89
"c:\programmering\visualstudiocodeFiles\CASproject\Math\Power.cs", "C#", 23, 2, 8, 33
"c:\programmering\visualstudiocodeFiles\CASproject\Math\Variable.cs", "C#", 20, 4, 6, 30
"Total", "-", 234, 42, 65, 341
