"filename", "language", "C#", "comment", "blank", "total"
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\CreateSettingsStartup.cs", "C#", 38, 0, 1, 39
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Program.cs", "C#", 92, 34, 16, 142
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Setting.cs", "C#", 48, 15, 10, 73
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Command.cs", "C#", 153, 46, 44, 243
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\CreateCommandsStartup.cs", "C#", 127, 8, 5, 140
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\DefineFunction.cs", "C#", 19, 0, 3, 22
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\DefineVariable.cs", "C#", 20, 0, 3, 23
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\EvaluateExpression.cs", "C#", 13, 0, 2, 15
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Explain.cs", "C#", 51, 12, 15, 78
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\GetSetting.cs", "C#", 11, 0, 3, 14
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Help.cs", "C#", 15, 0, 3, 18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\InformalCommand.cs", "C#", 10, 3, 2, 15
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\ListObjects.cs", "C#", 67, 3, 11, 81
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\SetSetting.cs", "C#", 15, 0, 3, 18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\SimplifyExpression.cs", "C#", 9, 0, 2, 11
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Write.cs", "C#", 36, 6, 9, 51
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Main.cs", "C#", 31, 1, 3, 35
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Add.cs", "C#", 38, 13, 11, 62
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Constant.cs", "C#", 19, 4, 8, 31
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Divide.cs", "C#", 29, 9, 9, 47
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Function.cs", "C#", 25, 3, 6, 34
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\GetValue.cs", "C#", 1, 4, 0, 5
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\MathObject.cs", "C#", 33, 12, 11, 56
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Multiply.cs", "C#", 40, 14, 10, 64
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Operator.cs", "C#", 63, 19, 11, 93
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Power.cs", "C#", 29, 9, 9, 47
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Variable.cs", "C#", 20, 4, 7, 31
"Total", "-", 1052, 219, 217, 1488
